DATASET_EN,NAME_EN,ADDRESS_EN,LATITUDE,LONGITUDE
Restaurant licences,OMUSUBI,"SHOPS NO. 4A & 4B, LOWER GROUND FLOOR, THREE GARDEN ROAD, CENTRAL, HONG KONG",22.278461849140392,114.16055591428757
Restaurant licences,Brass Spoon,"SHOP B, G/F., NO. 1-3 MOON STREET, WAN CHAI, HONG KONG",22.276381152287442,114.16837917981327
Restaurant licences,OBE,"SHOP 302, 3/F., PEDDER BUILDING, 12 PEDDER STREET, CENTRAL, HONG KONG",22.28188592848224,114.1569828479472
Restaurant licences,ITAMOMO,"SHOP NO.2, G/F, CHUN TIP HOUSE, FU TIP ESTATE, TAI PO, NEW TERRITORIES",22.46270757883034,114.1764164226392
Restaurant licences,FUKU FUKU,"SHOP S01A, HEATH, BASEMENT, CHUNGKING MANSION, NOS. 36-44 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",22.29647268796,114.17251241004074
Restaurant licences,Yummy Yummy,"SHOP G1, G2 & G3, G/F, COO RESIDENCE, 8 KAI FAT PATH, TUEN MUN, NEW TERRITORIES",22.39496683110767,113.97597705399559
Restaurant licences,Saravana vegetarian restaurant,"SHOP 106, 1/F, CHUNG KING MANSION, 36-44 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",22.296261320278916,114.17311096422017
Restaurant licences,NAMBU / OASIS FOOD SOCIAL,"SHOP UNITS 302-303, 3/F., THE SOUTHSIDE, NO. 11 HEUNG YIP ROAD, WONG CHUK HANG, HONG KONG",22.247611117583485,114.16755378552695
Restaurant licences,FULL FULL,"SHOP A, G/F, CHUNG CHING BUILDING, 48-52 TAI PO ROAD, SHAM SHUI PO, KOWLOON",22.32804481215793,114.16732937092817
Restaurant licences,hive,"SHOP NO. 108, 1/F, ONE NORTH, 8 HONG YIP STREET, YUEN LONG, NEW TERRITORIES",22.450786874008912,114.02946030446019
Restaurant licences,food parc,"STALL NO. 3 & THE SEATING AREA OF SHOPS 1502-1503, 15/F, HOPEWELL MALL, NO. 15 KENNEDY ROAD, WAN CHAI, HONG KONG",22.27492160238756,114.17064000276153
Restaurant licences,Cupping Room,"SHOP NO. ST-01-111, PORTIONS OF L1, NEW TOWN PLAZA III, 2-8 SHATIN CENTRE STREET, SHA TIN, NEW TERRITORIES",22.38035042822409,114.18727575031481
Restaurant licences,OMBRA,"SHOP UNIT LG17, LG/F, THE SOUTHSIDE, NO. 11 HEUNG YIP ROAD, WONG CHUK HANG, HONG KONG",22.247597612880497,114.16751896662048
Restaurant licences,BHC Chicken,"1/F, PLAZA 2000, NOS. 2-4 RUSSELL STREET AND NOS. 6, 7, 8 AND 9 CANAL ROAD EAST, CAUSEWAY BAY, HONG KONG",22.278612285605213,114.18158328179274
Restaurant licences,TIN KEE DUMPLING,"SHOP UNITS S25-26, 2/F, LUK YEUNG GALLERIA, 22-26 WAI TSUEN ROAD, TSUEN WAN, NEW TERRITORIES",22.3730583185147,114.11935396127542
Restaurant licences,Green Tea - The Wai,"SHOP UNIT 321A, 3/F., THE WAI, NO. 18 CHE KUNG MIU ROAD, TAI WAI, SHA TIN, NEW TERRITORIES",22.372800199197705,114.17934405159387
Restaurant licences,SUN WING KEE RESTAURANT,"SHOP A, G/F, KINGA COURT, 207 YEE KUK STREET, SHAM SHUI PO, KOWLOON",22.32865629910435,114.15906694436319
Restaurant licences,Paradise Dynasty,"SHOP A, 16/F., LEE THEATRE PLAZA, 99 PERCIVAL STREET, CAUSEWAY BAY, HONG KONG",22.278294588302106,114.18315660345147
Restaurant licences,New Marshal King,"G/F, 119 KI LUNG STREET, MONG KOK, KOWLOON",22.326178415904703,114.16516755561342
Restaurant licences,BATARD,"SHOPS 201, 201A, 201B, 201C, 202 & 203, 2/F., PEDDER BUILDING, 12 PEDDER STREET, CENTRAL, HONG KONG",22.28188482164478,114.15697746104793
Restaurant licences,Fall in Thai Hot Pot,"SHOP L514, 5/F, AIRSIDE, 2 CONCORDE ROAD, KAI TAK, KOWLOON",22.330927697931344,114.19806326691345
Restaurant licences,Sang Roastery,"G/F., NO. 66 STAUNTON STREET, CENTRAL, HONG KONG",22.282980870828894,114.15159844676606
Restaurant licences,icegreen,"G/F, NO. 520 JAFFE ROAD, CAUSEWAY BAY, HONG KONG",22.281032382615486,114.18383405509806
Restaurant licences,PIZZAEXPRESS,"SHOP NO. G28, LEVEL G, GO PARK, 9 HOI YING ROAD, TAI PO, NEW TERRITORIES",22.427902353952724,114.26492863874638
Restaurant licences,TULSI INDIAN RESTAURANT,"SHOP 6A, 1/F, MONTEREY PLACE, O'SOUTH COAST, 23 TONG CHUN STREET, TSEUNG KWAN O, NEW TERRITORIES",22.30201090464519,114.26193936881512
Restaurant licences,KUCCINA DELLA PASTA,"SHOP NO. 1, G/F., HANG SING MANSION, 48-78 HIGH STREET, HONG KONG",22.28504889664353,114.14149220994817
Restaurant licences,The Ripples,"ROOM A, UNIT C, 3/F, KAMGA MANSION, 4-16 PINE STREET, TAI KOK TSUI, KOWLOON",22.320396235185207,114.16346205074383
